사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-05,2호선,0214,강변(동서울터미널),19,0,"8,202","2,626","24,427","20,706","69,591","23,137","100,605","41,950","76,654","38,078","54,937","37,137","51,451","36,444","49,571","40,731","49,109","45,872","46,577","48,996","48,512","55,000","50,253","61,979","53,399","73,692","60,015","110,136","48,666","80,554","38,475","53,736","32,826","42,081","22,786","42,270","8,031","23,737",7,747,0,0,0,2,0,0,2020-06-03 11:49:09
2020-05,2호선,0215,잠실나루,5,0,"2,462","1,526","10,259","10,099","33,733","19,645","39,992","32,856","24,716","22,945","18,855","15,927","18,297","13,837","18,147","16,488","17,799","17,372","18,678","15,647","19,840","15,745","23,858","16,183","29,442","21,188","28,538","34,865","14,984","26,841","10,915","16,259","8,113","14,795","6,301","14,672","2,425","9,452",1,149,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0216,잠실(송파구청),75,3,"10,959","5,278","41,832","30,538","98,029","66,536","141,404","150,005","108,729","122,532","67,528","74,263","66,206","75,216","72,286","78,139","79,690","84,763","80,599","83,495","88,597","88,892","103,827","100,653","142,466","127,613","191,551","190,106","124,146","135,565","118,144","81,797","90,509","73,688","75,349","70,192","24,491","42,922",9,595,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0217,잠실새내,14,3,"4,439",890,"14,623","7,595","47,604","13,927","61,899","23,881","38,049","26,868","24,361","20,823","23,053","21,178","25,221","23,132","25,989","27,498","24,637","28,717","26,232","30,569","30,186","35,322","30,943","47,629","35,889","76,670","27,027","56,599","23,654","32,105","24,594","26,539","23,962","24,704","11,987","13,909",7,"1,640",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0218,종합운동장,3,0,"1,702","1,044","5,215","5,775","14,837","9,688","20,012","17,542","15,163","10,566","10,742","7,253","7,978","6,553","8,364","7,589","9,094","8,489","8,431","8,829","9,241","9,740","11,111","10,487","12,862","13,855","15,113","21,269","8,054","15,848","5,297","9,838","5,644","9,235","4,615","9,908","1,547","5,876",11,562,0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0219,삼성(무역센터),147,1,"4,730","4,527","6,800","38,720","14,212","113,633","18,626","270,881","17,625","217,806","18,569","82,680","26,473","59,190","32,713","51,861","41,382","58,564","52,365","51,900","65,920","45,347","81,283","44,027","152,658","44,683","248,245","52,094","153,058","31,891","104,200","15,565","82,390","11,905","55,977","10,354","12,812","7,305",1,"4,538",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0220,선릉,133,1,"4,447","6,071","9,710","37,063","18,045","100,760","27,338","253,776","26,610","194,745","28,361","87,323","38,707","56,334","46,088","49,777","56,048","57,173","62,826","50,685","81,757","43,642","111,159","41,293","153,519","46,013","259,900","50,978","132,902","34,012","81,083","19,652","78,590","15,973","67,189","14,002","21,034","8,502",3,230,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0221,역삼,29,4,"3,298","7,013","7,995","38,621","12,778","109,296","21,684","283,135","20,631","234,435","20,195","91,759","27,333","56,881","33,077","48,674","40,762","56,707","48,232","48,155","65,292","42,965","83,033","37,333","156,711","40,620","238,289","47,952","123,765","32,877","71,584","19,213","70,247","14,946","50,086","11,827","16,109","8,408",3,4,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0222,강남,168,6,"10,906","11,358","18,743","49,832","35,291","140,403","53,325","292,652","44,594","304,796","44,389","144,316","61,494","107,248","77,520","104,399","100,314","128,265","106,587","111,146","130,708","101,949","149,834","101,463","213,368","120,804","325,604","168,228","205,017","113,554","155,403","54,905","180,225","40,681","180,198","32,706","61,550","23,348",6,11,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0223,교대(법원.검찰청),25,3,"2,493","7,169","11,738","25,919","22,277","53,835","30,549","135,263","25,247","125,758","24,098","61,517","29,890","50,179","31,843","46,660","39,831","52,832","46,968","48,893","52,714","43,492","56,042","42,359","82,957","51,367","132,489","66,890","63,649","43,128","47,782","23,489","54,151","19,895","49,421","17,443","16,554","11,710",4,111,0,0,0,0,0,0,2020-06-03 11:49:09
